stu_name,gender,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,item_11,item_12,item_13,item_14,item_15,item_16,item_17,item_18
Adam,M,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Anne,F,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Audrey,F,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
Barbara,F,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Bert,M,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
Betty,F,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Blaise,M,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Brenda,F,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Britton,F,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Carol,F,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
David,M,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0
Don,M,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
Dorothy,F,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Elsie,F,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
Frank,M,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Helen,F,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
James,M,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Janet,F,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Joe,M,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0
Kim,F,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
Linda,F,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Lisa,F,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Martha,F,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Mike,M,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
Pete,M,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0
Richard,M,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Rick,M,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
Rod,M,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Ron,M,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Susan,F,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Thomas,M,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
Tracie,F,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0
Walter,M,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0
William,M,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Zula,F,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0
